G0,G1
4.071428571428571,9.142857142857142
5.0,5.75
3.2,6.857142857142857
4.3125,5.666666666666667
4.0,6.666666666666667
3.764705882352941,5.0
4.470588235294118,12.666666666666666
5.5,6.5
4.0,2.75
5.0,5.75
3.2,6.857142857142857
4.5,5.2
4.5,5.2
4.0,6.666666666666667
4.294117647058823,10.0
4.153846153846154,5.5
5.538461538461538,5.6
4.0,6.5
3.1818181818181817,11.25
3.769230769230769,11.0
3.0833333333333335,7.7
4.785714285714286,5.2
4.666666666666667,5.2
4.894736842105263,10.0
4.588235294117647,10.0
4.555555555555555,2.0
4.625,7.333333333333333
