E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,AVERAGE
408,211,192,168,167,234,190,99,81,163,262,495,391,375,419,269,207,128,207,189,244,328,168,336,159,144,83,392,304,276,164,187,238.75
133,117,196,148,99,332,130,139,135,78,286,198,302,136,172,295,57,74,93,179,60,127,143,209,81,131,66,289,355,134,78,173,160.78125
368,69,128,217,110,160,67,133,164,331,102,239,69,99,180,336,113,70,76,79,43,89,154,414,91,97,99,360,205,229,41,224,161.125
89,66,101,172,100,361,74,111,156,227,170,198,207,61,221,160,35,60,213,185,95,33,172,176,112,68,89,177,176,40,50,145,134.375
190,34,41,154,69,253,48,139,73,117,119,78,41,78,172,74,87,57,114,96,20,100,179,229,53,127,15,157,90,131,34,145,103.5625
145,71,78,69,47,92,164,76,85,75,271,271,54,44,131,220,56,89,66,153,107,90,307,238,111,59,22,98,88,73,79,138,114.59375
133,56,121,52,134,102,83,83,103,178,195,118,74,42,73,190,44,38,116,146,49,110,149,127,35,85,16,177,69,74,28,103,96.96875
95,31,52,85,26,92,71,69,83,119,186,65,145,62,112,104,26,49,72,142,75,44,169,221,79,59,44,114,39,89,93,125,88.65625
206,62,33,152,90,51,194,57,65,108,90,69,49,61,101,148,66,82,71,128,45,150,170,42,72,36,31,116,64,100,60,139,90.875
118,62,94,46,42,77,46,109,67,23,161,104,27,59,81,116,82,82,91,95,48,113,60,35,47,58,47,98,26,101,63,85,73.84375
