ID,Score0,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10
1,0,0,0,0,1,0,6,5,1,4,0
2,0,3,0,1,1,2,1,5,0,2,1
3,0,0,2,0,1,2,8,4,7,1,1
4,0,0,1,1,3,3,2,3,2,0,0
5,0,0,0,0,0,0,2,1,16,0,0
6,0,0,0,0,5,3,1,9,1,0,0
7,0,0,0,0,2,0,6,2,10,0,1
8,0,0,0,3,2,6,1,9,1,0,0
9,0,0,0,0,2,3,5,2,4,1,1
10,0,0,1,0,1,8,9,2,0,0,0
11,0,0,0,6,4,0,0,3,0,0,4
12,0,0,0,0,0,2,3,7,10,0,0
13,0,2,1,1,0,2,1,1,3,2,5
14,0,0,0,1,4,4,5,4,2,0,0
15,0,0,2,1,2,6,3,4,3,1,0
16,1,0,6,5,7,4,2,1,0,1,1
17,0,4,0,0,0,0,0,0,0,1,15
18,0,2,0,0,0,8,0,4,0,0,6
19,0,0,0,1,5,1,3,0,6,2,0
20,0,3,0,0,0,2,0,5,3,1,4
21,0,0,0,1,0,2,9,1,4,0,0
22,0,0,0,0,0,2,2,6,6,1,0
23,0,0,0,0,6,2,4,6,1,0,0
24,0,0,0,0,2,2,1,9,5,1,0
25,5,4,4,0,0,1,1,3,3,1,0
26,0,0,1,0,1,1,4,3,6,0,0
27,0,2,0,0,0,0,2,2,2,3,7
28,0,0,1,3,4,1,7,3,1,0,0
29,0,0,0,0,0,0,1,1,2,9,3
30,2,0,0,0,0,2,2,2,4,2,5
31,0,0,0,0,0,0,1,3,6,6,2
32,0,0,0,0,1,1,4,5,5,1,0
