Q1,Q2,Q3,Q4
Fully agree,Partially agree,Fully agree,Empty response
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Partially agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially disagree,Partially agree,Partially disagree,Partially agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Partially agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Partially agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Partially agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Partially agree,Fully agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Fully agree,Fully agree,Fully agree,Partially agree
