Q1,Q2,Q3,Q4
Partially agree,Partially agree,Partially disagree,Partially agree
Partially disagree,Partially agree,Fully disagree,Partially agree
Partially agree,Partially agree,Partially agree,Fully agree
Fully agree,Fully agree,Partially disagree,Partially agree
Partially agree,Fully agree,Fully agree,Partially disagree
Partially disagree,Fully agree,Partially disagree,Partially agree
Fully agree,Partially agree,Partially disagree,Partially agree
Fully disagree,Partially agree,Partially disagree,Partially disagree
Partially agree,Partially agree,Fully agree,Fully agree
Partially disagree,Fully agree,Partially agree,Fully agree
Fully agree,Partially agree,Partially agree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Partially disagree,Partially disagree,Partially agree
Fully agree,Fully agree,Fully agree,Fully agree
Partially agree,Fully agree,Partially disagree,Partially agree
Fully agree,Partially agree,Partially agree,Fully agree
Fully agree,Partially agree,Fully agree,Fully agree
Fully agree,Partially agree,Partially agree,Fully agree
Fully agree,Partially disagree,Fully agree,Fully agree
Fully agree,Partially disagree,Partially agree,Partially agree
Partially agree,Fully agree,Partially agree,Fully agree
Partially agree,Partially agree,Fully agree,Fully agree
Partially agree,Fully agree,Fully disagree,Partially agree
Partially agree,Partially agree,Partially disagree,Fully agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Partially disagree,Partially disagree,Fully disagree
Partially agree,Partially disagree,Partially disagree,Partially agree
Partially agree,Partially agree,Partially agree,Partially agree
Fully agree,Fully agree,Fully agree,Fully agree
Fully agree,Partially agree,Partially agree,Partially agree
Partially agree,Fully agree,Partially agree,Fully agree
Fully agree,Partially agree,Fully agree,Partially agree
