Generation,Selected,Tie,MinFailed,MinEmpty,Minimized,SameMin,Archived,Time,ReadabilityScores,Goal,,,,,,,,
11,4,true,0,0,2,false,0,328,7-5,Weak,Mutation,73:,com.org.apache.commons.collections.primitives.ArrayIntList.removeElementAt(I)I:131,-,InsertUnaryOp,IINC,-1,numtomove
11,4,true,0,0,2,false,0,127,6-8,Weak,Mutation,106:,com.org.apache.commons.collections.primitives.ArrayIntList.set(II)I:148,-,ReplaceVariable,oldval,->,element
11,4,true,0,0,2,false,0,89,6-8,Weak,Mutation,227:,com.org.apache.commons.collections.primitives.ArrayIntList.trimToSize()V:191,-,ReplaceComparisonOperator,>=,->,>
211,4,true,0,0,2,false,1,33,7,Weak,Mutation,106:,com.org.apache.commons.collections.primitives.ArrayIntList.set(II)I:148,-,ReplaceVariable,oldval,->,element
211,4,true,0,0,1,true,0,0,,Weak,Mutation,227:,com.org.apache.commons.collections.primitives.ArrayIntList.trimToSize()V:191,-,ReplaceComparisonOperator,>=,->,>
211,4,true,0,0,2,false,2,0,,com.org.apache.commons.collections.primitives.ArrayIntList.trimToSize()V:,I11,Branch,5,IF_ICMPGE,L191,-,true,
211,4,true,0,0,1,true,0,0,,Weak,Mutation,213:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,InsertUnaryOp,IINC,-1,mincap
211,4,true,0,0,2,false,0,100,8-9,Weak,Mutation,212:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,InsertUnaryOp,IINC,1,mincap
211,4,true,0,0,3,false,0,90,8-7-7,Weak,Mutation,272:,com.org.apache.commons.collections.primitives.ArrayIntList.checkRangeIncludingEndpoint(I)V:208,-,ReplaceComparisonOperator,<=,->,-1
411,4,true,0,0,1,true,0,0,,Weak,Mutation,106:,com.org.apache.commons.collections.primitives.ArrayIntList.set(II)I:148,-,ReplaceVariable,oldval,->,element
411,4,true,0,0,2,false,1,110,5,Weak,Mutation,100:,com.org.apache.commons.collections.primitives.ArrayIntList.set(II)I:147,-,ReplaceVariable,element,->,oldval
411,4,true,0,0,2,false,1,44,8,Weak,Mutation,227:,com.org.apache.commons.collections.primitives.ArrayIntList.trimToSize()V:191,-,ReplaceComparisonOperator,>=,->,>
411,4,true,0,0,1,true,0,0,,Weak,Mutation,213:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,InsertUnaryOp,IINC,-1,mincap
411,4,true,0,0,1,true,0,0,,Weak,Mutation,212:,com.org.apache.commons.collections.primitives.ArrayIntList.ensureCapacity(I)V:181,-,InsertUnaryOp,IINC,1,mincap
